Power_Station,Records,Programme_avg,Actual_avg,Programme_sum,Actual_sum,Generation_Difference_avg,Excess_Shortfall_avg,Total_Maintenance_avg,Forced_Maintenance_avg,Available_Capacity_sum,Programme_Achievement_pct,Capacity_Utilization_pct,Deviation_pct,Maintenance_Impact_Index_pct
NLC,3039.0,33.257900625205664,32.7465317538664,101070.76000000001,99516.70999999999,-0.5113688713392562,-0.5113622902270483,461.53175386640345,336.245475485357,4725395.0,98.4624138573807,2.1059976996632024,-1.5375861426193067,22.88833695877441
NPCIL,4792.0,39.15383555926544,39.464649415692826,187625.18,189114.6,0.3108138564273792,0.3108013355592655,539.7161936560935,229.97913188647746,8322040.0,100.79382735302373,2.2724548307866823,0.7938273530237322,23.709521871298712
NPGCL,944.0,18.336165254237287,22.2898093220339,17309.34,21041.58,3.95364406779661,3.95364406779661,230.02118644067798,171.9915254237288,983400.0,121.56200063087329,2.1396766320927396,21.562000630873282,18.086860912589334
NPGCPL,10.0,5.017,0.0,50.17,0.0,-5.017,-5.017,0.0,0.0,660.0,0.0,0.0,-100.0,0.0
NPL,1565.0,25.10087539936102,26.271968051118208,39282.869999999995,41115.63,1.1710926517571887,1.1710926517571882,155.20766773162939,98.40255591054313,1948100.0,104.66554505818951,2.1105502797597655,4.665545058189491,11.08626198083067
NSPCL,1485.0,9.746080808080809,9.385501683501683,14472.93,13937.47,-0.36057912457912455,-0.3605791245791246,38.888888888888886,16.161616161616163,679750.0,96.30026539201116,2.0503817579992645,-3.699734607988852,7.830508474576272
NTECL,1740.0,22.88897701149425,19.962218390804598,39826.82,34734.26,-2.926758620689655,-2.9267701149425287,350.86206896551727,228.44827586206895,1999500.0,87.2132397213737,1.7371472868217057,-12.786760278626307,23.39080459770115
NTPC Ltd.,9198.0,146.4363774733638,155.72981843879106,1346921.8,1432402.87,9.293440965427267,9.293440965427267,2216.220607740813,1540.711960208741,70367141.14,106.34640184753117,2.035613280281121,6.346401847531167,22.46210663276402
NTPGPL,10.0,0.7220000000000001,0.0,7.220000000000001,0.0,-0.7220000000000001,-0.7220000000000001,0.0,0.0,0.0,0.0,,-100.0,
NTPL,1774.0,16.79304396843292,14.078754227733935,29790.859999999997,24975.71,-2.714289740698985,-2.714289740698985,184.04735062006765,146.8432919954904,1447500.0,83.83682109210679,1.725437651122625,-16.163178907893222,18.404735062006765
NUPPL,5.0,2.8259999999999996,0.0,14.129999999999999,0.0,-2.8259999999999996,-2.8259999999999996,0.0,0.0,0.0,0.0,,-100.0,
ONGC,1490.0,12.397805369127516,12.468563758389262,18472.73,18578.16,0.07075838926174509,0.07076510067114093,76.31738255033558,30.478187919463092,968921.1000000002,100.57073318345475,1.9174068972179463,0.5707331834547481,10.503355704697986
PENNA,295.0,0.8725084745762709,0.8600338983050848,257.38999999999993,253.71,-0.012474576271186399,-0.012406779661016942,8.850169491525422,5.864406779661017,12965.2,98.57026302498157,1.9568537315274734,-1.4297369750184243,16.76168464304057
PGPL,5.0,0.8240000000000001,0.0,4.12,0.0,-0.8240000000000001,-0.8240000000000001,310.4,0.0,388.0,0.0,0.0,-100.0,80.0
PPGCL (Jaypee),1805.0,25.13231024930748,27.047994459833795,45363.82,48821.63,1.9156842105263157,1.9156731301939058,491.8005540166205,421.9612188365651,2686200.0,107.6223959975152,1.8174979524979522,7.622395997515195,24.838411819021236
PPNPGCL,18.0,0.2061111111111111,2.187777777777778,3.71,39.38,1.9816666666666665,1.9816666666666665,110.16666666666667,0.0,3966.0,1061.455525606469,0.9929399899142713,961.4555256064691,33.33333333333333
PVUNL,7.0,2.857142857142857,0.0,20.0,0.0,-2.857142857142857,-2.857142857142857,455.0,455.0,-1820.0,0.0,,-100.0,233.33333333333334
RATTANINDIA,1343.0,14.43823529411765,19.732561429635147,19390.550000000003,26500.83,5.2943261355174975,5.2943261355174975,849.2032762472078,806.5822784810126,1231470.0,136.66878969394884,2.151967161197593,36.668789693948845,48.08195788275469
REGL,611.0,6.517954173486089,11.896252045826513,3982.4700000000003,7268.61,5.3782978723404264,5.378297872340425,39.27986906710311,36.33387888707038,342600.0,182.51512252446344,2.121602451838879,82.51512252446345,6.546644844517186
RELIANCE,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,48.0,,0.0,,50.0
RGPPL,1360.0,11.051404411764706,11.025639705882353,15029.91,14994.87,-0.025764705882352926,-0.02577205882352942,1351.1378088235294,1.4095588235294119,869549.32,99.76686487144633,1.7244415762408971,-0.23313512855365773,67.87889744937596
RIL (DAHANU),577.0,10.554263431542461,9.491421143847488,6089.81,5476.55,-1.0628422876949744,-1.0628076256499133,41.161178509532064,18.630849220103986,264750.0,89.92973508204689,2.068574126534467,-10.070264917953107,8.232235701906413
RKMPPL,1370.0,10.656992700729926,12.4745401459854,14600.08,17090.12,1.8175474452554745,1.8175328467153284,754.948905109489,673.2262773722628,842400.0,117.05497504123264,2.0287416904083573,17.054975041232645,55.11221945137157
RPSCL,1668.0,18.58042565947242,18.546516786570745,30992.149999999998,30935.590000000004,-0.03390887290167849,-0.0339268585131894,158.9928057553957,100.35971223021583,1736400.0,99.81750217393761,1.7815935268371343,-0.1824978260623869,13.249400479616307
RWPL (JSW),1387.0,18.974931506849316,18.48526315789474,26318.23,25639.06,-0.4896683489545783,-0.48966113914924303,187.6568132660418,187.6568132660418,1237680.0,97.419393325463,2.0715419171352853,-2.580606674536997,17.375630857966833
SAMALPATI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.7,,0.0,,0.0
SCPL,811.0,1.8359926017262638,1.7073612823674478,1488.99,1384.67,-0.12863131935881628,-0.12860665844636254,22.81134401972873,17.87916152897657,62600.0,92.9939086226234,2.2119329073482428,-7.006091377376607,22.81134401972873
SEIL,1641.0,47.09653260207191,44.65984765386959,77285.41,73286.81,-2.4366849482023163,-2.436684948202316,256.599634369287,152.43144424131626,3586440.0,94.82619035080488,2.0434416859058007,-5.173809649195114,10.507246376811594
SEL,376.0,2.2799734042553195,6.800505319148937,857.2700000000001,2556.9900000000002,4.520531914893617,4.520452127659575,631.9148936170212,627.1276595744681,192600.0,298.27125643029615,1.3276168224299068,198.27125643029618,55.23012552301255
SEPCPPL,123.0,5.519349593495935,7.0166666666666675,678.88,863.0500000000001,1.4973170731707315,1.4973170731707315,119.51219512195122,115.2439024390244,48825.0,127.12850577421636,1.7676395289298517,27.128505774216364,23.140495867768596
SEPL,810.0,1.1872222222222222,1.2741234567901234,961.65,1032.04,0.08690123456790122,0.08690123456790123,63.735802469135805,26.85185185185185,50585.0,107.31971091353402,2.040209548285065,7.3197109135340295,50.50924068837992
SGPL,404.0,17.40185643564356,26.182722772277227,7030.3499999999985,10577.82,8.780866336633665,8.780742574257426,71.88118811881188,37.57425742574257,504240.0,150.45936546544627,2.097774869109948,50.45936546544627,5.445544554455446
SJVNL,1728.0,22.819531249999997,23.39328703703704,39432.149999999994,40423.600000000006,0.5737557870370368,0.5737499999999999,579.6725231481482,44.87625,2302296.4400000004,102.51431889967961,1.7557947490028696,2.5143188996796058,30.31728345666615
SKPPPL,790.0,1.0153544303797466,1.3442278481012655,802.1299999999999,1061.9399999999998,0.3288734177215189,0.32891139240506334,0.0,0.0,75840.0,132.3900115941306,1.4002373417721516,32.39001159413063,0.0
SKS,911.0,4.92072447859495,5.895115257958287,4482.78,5370.45,0.9743907793633371,0.9744346871569703,263.1174533479693,177.82656421514818,290400.0,119.80177479153562,1.8493285123966943,19.80177479153561,45.217883418222975
SMHPCL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
SPGL,686.0,2.2353644314868806,2.4632215743440233,1533.46,1689.77,0.22785714285714287,0.22790087463556852,61.55830903790088,6.282798833819242,100459.0,110.19328838052509,1.6820493932848228,10.193288380525082,29.59534088360619
SPL,1742.0,85.12218140068886,88.77407003444317,148282.84,154644.43,3.651888633754306,3.6519058553386916,319.3915040183697,224.2939150401837,6341940.0,104.29017275363756,2.4384404456680446,4.290172753637573,8.065442020665902
SPPL,3.0,0.0,0.45333333333333337,0.0,1.36,0.45333333333333337,0.45333333333333337,100.0,50.0,150.0,,0.9066666666666667,,66.66666666666666
ST-CMSECP,969.0,3.4480082559339524,4.397069143446853,3341.12,4260.76,0.9490608875128997,0.9490608875128999,26.31578947368421,24.50980392156863,216750.0,127.5249018293267,1.9657485582468281,27.524901829326705,10.526315789473683
STPL,5.0,8.362,0.736,41.81,3.68,-7.6259999999999994,-7.6259999999999994,2106.0,1836.0,270.0,8.80172207605836,1.3629629629629632,-91.19827792394165,97.5
SVPPL,74.0,0.09689189189189189,0.7848648648648648,7.17,58.08,0.6879729729729729,0.6879729729729729,21.283783783783782,20.43243243243243,3087.0,810.0418410041842,1.8814382896015547,710.0418410041841,33.78378378378378
SrEPL,519.0,2.054104046242774,3.619826589595376,1066.08,1878.69,1.5657225433526012,1.5657418111753372,0.8670520231213873,0.0,116325.0,176.22411076091853,1.6150354609929078,76.22411076091852,0.3853564547206166
